source	accession	volume	family	title	element	h_cm	w_cm	l_cm	d_cm	diam_cm	n1_cm	n2_cm	n3_cm	weight_g	raw
cma	1969.179	core	shields	Sovereign: Mary Enthroned (obverse); Shield of Royal Arms on	Diameter						4.3				Diameter: 4.3 cm (1 11/16 in.)
cma	1969.211	core	shields	Five Guineas: George III (obverse); Shield of Arms (reverse)	Diameter						3.8				Diameter: 3.8 cm (1 1/2 in.)
cma	1916.720	core	daggers_eastern	Dagger (Gwálaa)	Overall						3.8	4.8			Overall: 3.8 x 4.8 cm (1 1/2 x 1 7/8 in.); Blade: 19.1 cm (7 1/2 in.)
cma	1916.720	core	daggers_eastern	Dagger (Gwálaa)	Blade						19.1				Overall: 3.8 x 4.8 cm (1 1/2 x 1 7/8 in.); Blade: 19.1 cm (7 1/2 in.)
cma	1916.719	core	daggers_eastern	Dagger (Gwálaa)	Overall						2.5	6.0			Overall: 2.5 x 6 cm (1 x 2 3/8 in.); Blade: 21 cm (8 1/4 in.)
cma	1916.719	core	daggers_eastern	Dagger (Gwálaa)	Blade						21.0				Overall: 2.5 x 6 cm (1 x 2 3/8 in.); Blade: 21 cm (8 1/4 in.)
cma	1930.708	core	daggers_eastern	Khanjar dagger	Overall						34.4				Overall: 34.4 cm (13 9/16 in.)
cma	1989.361	core	decoration_donors	Sheath for a Dagger	Overall						33.5				Overall: 33.5 cm (13 3/16 in.)
cma	1930.708.b	core	decoration_donors	Dagger (red velvet case)	Overall						34.4				Overall: 34.4 cm (13 9/16 in.)
cma	1918.368	core	plucked_strings	Lute or Tiorbino	Overall						100.7	27.7			Overall: 100.7 x 27.7 cm (39 5/8 x 10 7/8 in.)
cma	1918.382	core	plucked_strings	Moon Lute (Yueqin)	Overall						58.4	35.6			58.4 x 35.6 cm (23 x 14 in.)
cma	1959.340	core	plucked_strings	Lute-playing Angel	Overall						75.0				Overall: 75 cm (29 1/2 in.)
cma	1918.350	core	plucked_strings	Oud	Overall						81.3	33.7			Overall: 81.3 x 33.7 cm (32 x 13 1/4 in.)
cma	1918.362	core	plucked_strings	Lute	Overall						91.5	34.0			Overall: 91.5 x 34 cm (36 x 13 3/8 in.)
cma	1953.641	thief	ewers_plate	Single Leaf Excised from a Choir Psalter: Initial E[xultate 	Sheet						56.5	41.9			Sheet: 56.5 x 41.9 cm (22 1/4 x 16 1/2 in.)
cma	1918.367	core	plucked_strings	Lute	Overall						93.0	31.8			Overall: 93 x 31.8 cm (36 5/8 x 12 1/2 in.)
cma	1918.376	core	plucked_strings	Harp-Lute	Overall						90.5	37.5			Overall: 90.5 x 37.5 cm (35 5/8 x 14 3/4 in.)
cma	2018.179	core	daggers_eastern	Krishna and Consort on a Palace Balcony with Musicians: Vukh	Page						32.7	23.8			Page: 32.7 x 23.8 cm (12 7/8 x 9 3/8 in.); Miniature: 18.8 x 12.7 cm (7 3/8 x 5 in.)
cma	2018.179	core	daggers_eastern	Krishna and Consort on a Palace Balcony with Musicians: Vukh	Miniature						18.8	12.7			Page: 32.7 x 23.8 cm (12 7/8 x 9 3/8 in.); Miniature: 18.8 x 12.7 cm (7 3/8 x 5 in.)
cma	1975.22.6	core	bindings_codices	Album of Miscellaneous Subjects, Leaf 6	Image						12.6	17.3			Image: 12.6 x 17.3 cm (4 15/16 x 6 13/16 in.); Overall: 21 x 22 cm (8 1/4 x 8 11/16 in.)
cma	1975.22.6	core	bindings_codices	Album of Miscellaneous Subjects, Leaf 6	Overall						21.0	22.0			Image: 12.6 x 17.3 cm (4 15/16 x 6 13/16 in.); Overall: 21 x 22 cm (8 1/4 x 8 11/16 in.)
cma	1918.344	core	plucked_strings	Pipa	Overall						95.4	27.4	8.0		Overall: 95.4 x 27.4 x 8 cm (37 9/16 x 10 13/16 x 3 1/8 in.)
cma	2012.98	thief	cups_tankards	Apollo with Erato and Cupid	Sheet						19.1	15.0			Sheet: 19.1 x 15 cm (7 1/2 x 5 7/8 in.)
cma	1954.581	core	plucked_strings	Saying Farewell at Xunyang (Song of the Pipa)	Overall						27.0	271.3			Overall: 27 x 271.3 cm (10 5/8 x 106 13/16 in.); Painting only: 21 x 60 cm (8 1/4 x 23 5/8 in.)
cma	1954.581	core	plucked_strings	Saying Farewell at Xunyang (Song of the Pipa)	Painting only						21.0	60.0			Overall: 27 x 271.3 cm (10 5/8 x 106 13/16 in.); Painting only: 21 x 60 cm (8 1/4 x 23 5/8 in.)
cma	1938.262	core	plucked_strings	Roller-Printed Cotton with Design of Woman Playing a Lute	Overall						61.5	64.0			Overall: 61.5 x 64 cm (24 3/16 x 25 3/16 in.)
cma	1918.374	core	plucked_strings	Guitar	Overall						96.8				Overall: 96.8 cm (38 1/8 in.); Widest end: 21 cm (8 1/4 in.)
cma	1918.374	core	plucked_strings	Guitar	Widest end						21.0				Overall: 96.8 cm (38 1/8 in.); Widest end: 21 cm (8 1/4 in.)
